factor_name,horizon,period,universe,n_days,ic_mean,ic_std,icir,rank_ic_mean,pos_ic_ratio,t_stat,p_value,ci_low,ci_high,partial_ic_mean,partial_ic_std,partial_icir,partial_t_stat,partial_p_value,partial_ci_low,partial_ci_high
liquidity,60,post_event,theme_core,47,0.01715001545039906,0.09261642992961526,0.1851724954571492,-0.0012997376584772246,0.5531914893617021,1.2694786703485463,0.21065558177055044,-0.009328594287528347,0.04362862518832647,,,,,,,
liquidity,60,post_event_extended,theme_core,43,0.019925927732388524,0.11209361654587334,0.17776148496586344,0.013538089163641118,0.5116279069767442,1.1656600096522838,0.250329199316069,-0.013578540150258969,0.053430395615036014,,,,,,,
liquidity,60,pre_event,theme_core,150,-0.0016942978316343434,0.10664100927407479,-0.015887863807439038,-0.008688232536333803,0.4866666666666667,-0.19458579715529004,0.8459822837122917,-0.018760413645591282,0.015371817982322596,,,,,,,
noise_alpha,1,post_event,theme_core,47,-0.023050312509795532,0.11369044560959023,-0.20274625881008201,-0.019029735364235772,0.3617021276595745,-1.3899583219254394,0.171231685626402,-0.05555388603897558,0.009453261019384523,-0.013960818026174798,0.12751519118143978,-0.10948356738382742,-0.7505815224032542,0.4567269594732897,-0.0504168224901397,0.022495186437790103
noise_alpha,1,post_event_extended,theme_core,102,0.0029444790935487077,0.10633330518089547,0.027691033289518514,0.003927314010461191,0.45098039215686275,0.2796657274558409,0.7803059035414728,-0.017691510435295987,0.0235804686223934,0.004331610293582,0.11418328211056436,0.037935591038517145,0.3831306890331881,0.702428063803826,-0.017827815767652397,0.0264910363548164
noise_alpha,1,pre_event,theme_core,150,-0.004169258880188262,0.10871351639926889,-0.038350878697327284,-0.004911236130645413,0.43333333333333335,-0.4697004199791254,0.6392557349621866,-0.02156704491055239,0.013228527150175869,-0.006308603016100794,0.12246457262771042,-0.051513698049466164,-0.6309113749249858,0.5290650442641538,-0.02590701636381974,0.013289810331618152
noise_alpha,2,post_event,theme_core,47,-0.03286503462942614,0.0992227614755978,-0.3312247526744027,-0.03212386908858766,0.3191489361702128,-2.270762499438967,0.027888756902608947,-0.0612323640571361,-0.00449770520171618,-0.028327641116399294,0.11180356353953823,-0.2533697515498377,-1.7370155028151142,0.08907714320757631,-0.06029176377285225,0.0036364815400536654
noise_alpha,2,post_event_extended,theme_core,101,0.0027688487377991225,0.1140889193273104,0.024269216976764898,0.0018314278685252474,0.5346534653465347,0.2439026120384828,0.8078059363814714,-0.019481603935622926,0.02501930141122117,0.00020102921106474037,0.11731270988671157,0.001713618339043344,0.017221651169457376,0.9862941034410038,-0.022678150596367505,0.023080209018496986
noise_alpha,2,pre_event,theme_core,150,-0.0011273494561789004,0.11804861345077036,-0.00954987460864195,-0.0020689170182841094,0.5066666666666667,-0.11696159949366987,0.9070479894933212,-0.0200190621522782,0.0177643632399204,-0.0032809626340951073,0.12513295757822052,-0.0262198120910247,-0.3211258038733368,0.7485650454640536,-0.02330640651079739,0.016744481242607172
noise_alpha,3,post_event,theme_core,47,-0.02920011663646204,0.09980223339875416,-0.29257979147415103,-0.02100926674048139,0.3829787234042553,-2.0058259934041414,0.05077684384406278,-0.05773311441177516,-0.0006671188611489208,-0.021400792485809728,0.10563415590486362,-0.20259349168353974,-1.3889110032715697,0.17154797215786544,-0.05160110998159212,0.008799525009972668
noise_alpha,3,post_event_extended,theme_core,100,0.006279464270825576,0.11504300949735587,0.05458362310114898,0.00797069854664791,0.56,0.5458362310114898,0.5864063795245751,-0.016268965590656177,0.028827894132307328,0.0034661671461251563,0.12446237771802075,0.0278491156096827,0.278491156096827,0.7812162068683302,-0.020928458886606913,0.027860793178857226
noise_alpha,3,pre_event,theme_core,150,-0.006151643373930384,0.1173924763519013,-0.05240236482864476,-0.003726832317549619,0.4533333333333333,-0.6417952757267366,0.5219922372920704,-0.024938352265251786,0.012635065517391016,-0.009689170634168794,0.12748999831196217,-0.07599945691786612,-0.9307994508870256,0.3534629651835355,-0.030091819588111735,0.010713478319774147
noise_alpha,5,post_event,theme_core,47,-0.023169702350146874,0.10266038101218479,-0.22569273678613033,-0.020498548642906306,0.48936170212765956,-1.5472714492249364,0.1286508029491642,-0.05251983133303226,0.006180426632738507,-0.022793603137346668,0.10439135640965261,-0.21834760962296534,-1.4969157943982536,0.1412457740617541,-0.05263860999503608,0.0070514037203427415
noise_alpha,5,post_event_extended,theme_core,98,0.009003717462312988,0.11540894795919829,0.07801576586155316,0.011832764047953918,0.5612244897959183,0.7723166791223268,0.44180457228002146,-0.013846088456922263,0.03185352338154824,0.006223271669398914,0.12445498458021864,0.050004197826143675,0.49501630318923734,0.6217080648821671,-0.01841755812436023,0.03086410146315806
noise_alpha,5,pre_event,theme_core,150,-0.0002734050221874814,0.1222937735669802,-0.0022356413921411763,-0.00073933427097984,0.48,-0.02738090329295658,0.978192567904705,-0.019844484827480496,0.019297674783105533,-0.0011466917743935033,0.12903318455019566,-0.008886797441997758,-0.10884059590182646,0.9134753630677506,-0.021796301960637907,0.0195029184118509
noise_alpha,10,post_event,theme_core,47,-0.024544375685015205,0.11198576566445549,-0.2191740668055783,-0.026218691085375716,0.425531914893617,-1.5025816993842684,0.13978146932026458,-0.05656058908781599,0.007471837717785583,-0.03091623509472913,0.1079305752649046,-0.2864455694676729,-1.9637718860855489,0.05561700917377199,-0.06177308828375036,-5.938190570790522e-05
noise_alpha,10,post_event_extended,theme_core,93,-0.005324577424894493,0.11728760695485926,-0.04539761329552725,-0.006212916332693113,0.46236559139784944,-0.4377987280046753,0.6625583224651279,-0.02916240765422709,0.0185132528044381,-0.006476799300584962,0.1255093182448877,-0.05160413100123566,-0.4976522172004465,0.6199165996658269,-0.031985630951250295,0.01903203235008037
noise_alpha,10,pre_event,theme_core,150,-0.005434934351596164,0.1209567104453221,-0.044932888234034775,-0.00947022972339428,0.4666666666666667,-0.5503132442144557,0.5829286021066062,-0.02479203949329477,0.013922170790102443,-0.0038588755110944475,0.12407684212306382,-0.03110069087079987,-0.38090411640747357,0.7038169359197801,-0.023715305714789456,0.015997554692600557
noise_alpha,20,post_event,theme_core,47,-0.04106627477047234,0.10197933382629464,-0.402692126234342,-0.04099560104138612,0.2553191489361702,-2.7607181277637443,0.008256385483352169,-0.07022169550707784,-0.011910854033866842,-0.047227958338297175,0.10947567167815271,-0.4314014028353491,-2.957539011967625,0.004882472701026597,-0.07852654745867485,-0.015929369217919494
noise_alpha,20,post_event_extended,theme_core,83,-0.004824011551304705,0.1110767583117491,-0.043429531295517174,-0.008139449499827723,0.46987951807228917,-0.39566186024117783,0.6933820342889994,-0.02872083758046464,0.019072814477855235,-0.006578345356191654,0.11213457220162487,-0.058664738510469217,-0.5344612036374985,0.5944686632852052,-0.030702747296656493,0.017546056584273183
