factor_name,rebalance_frequency,top_quantile_cum_gross,bottom_quantile_cum_gross,top_quantile_cum_net,bottom_quantile_cum_net,top_quantile_annualized,top_bottom_spread_gross,top_bottom_spread_net,mean_turnover,max_drawdown_avg,sharpe_top
quality,1,2229.3828185150956,8.862351747362828,2228.993446599321,8.860604940994016,2350.231445877125,2220.5204667677326,2220.132841658327,0.31101694915254235,-0.6775539882392903,4.962474221710479
quality,5,3.48834706768901,0.49822172263598974,3.4866924651682947,0.4976519539935891,3.769450358294498,2.9901253450530203,2.9890405111747054,0.5389830508474577,-0.5523443390081015,2.0433373851510988
quality,10,3.121516493154256,-0.029949091582306298,3.1194471484149844,-0.030432096097122607,2.816254893419494,3.1514655847365622,3.149879244512107,0.6420833333333332,-0.438012872113193,2.354536513919238
quality,20,0.8015587024681174,-0.1712731965921096,0.8004327282790749,-0.17181877507101984,0.8017155969748766,0.972831899060227,0.9722515033500947,0.7233333333333334,-0.3428082777104088,1.2675140587084475
revenue_revision,1,33.71520666261605,0.051340883675307536,33.701935328402314,0.050331596426979264,699.5336945461594,33.66386577894074,33.651603731975335,0.40991498926462694,-0.6079060957100058,3.603318598545248
revenue_revision,5,-0.2587420427800231,0.03228857691474407,-0.25902258832633207,0.03125628833782934,-0.14024368890526984,-0.2910306196947672,-0.2902788766641614,0.42888821792807297,-0.3728330641476668,-0.2031065733724555
revenue_revision,10,-0.19749559043215814,0.03228857691474407,-0.19783275374312248,0.03125628833782934,-0.17271405064090783,-0.2297841673469022,-0.22908904208095182,0.469212962962963,-0.2623339105886278,-0.3754477099558065
revenue_revision,20,-0.3332539233304098,0.03228857691474407,-0.3335595152822167,0.03125628833782934,-0.40901895594285465,-0.3655425002451539,-0.36481580362004606,0.5262345679012346,-0.24332819354647098,-1.7018428914859136
theme_heat,1,8.37215903455761,3.2533800244099895,8.37048012151674,3.25168407923924,34.36665732631911,5.1187790101476205,5.1187960422775,0.5200356837718961,-0.7306595587792004,1.9367236828247594
theme_heat,5,0.12440974873569055,2.294040138416682,0.12418771693221964,2.292717637132297,0.5965359823693981,-2.169630389680991,-2.1685299202000774,0.5252894342164689,-0.5410330322291678,0.5382095250501531
theme_heat,10,-0.16158340443471497,3.1156914098285178,-0.16177165881116506,3.114002261479068,0.017924518540594958,-3.2772748142632326,-3.275773920290233,0.5401842880202014,-0.3989064806827224,0.030624975519140393
theme_heat,20,-0.4954068979585031,1.8368868441571133,-0.49553841704638557,1.8357757301431517,-0.37786733535331773,-2.3322937421156165,-2.3313141471895373,0.5389437879515279,-0.3747979804494427,-1.0493993514971736
valuation,1,13.54759475888214,460.4741912198991,13.543584923970846,460.40497009121617,40.6732464708693,-446.92659646101697,-446.8613851672453,0.40326271186440676,-0.773378315082094,2.172238303838979
valuation,5,0.3368540656998422,0.8358224524448408,0.3364433795991506,0.8355346328230593,0.906466756572821,-0.49896838674499855,-0.4990912532239087,0.4135593220338983,-0.5066528275435823,0.7148993998173059
valuation,10,-0.05449902732369527,0.6804472915196726,-0.05476691926595356,0.6802022262896594,0.23044168973421786,-0.7349463188433679,-0.734969145555613,0.40625,-0.3999312186717815,0.28062678577653705
valuation,20,-0.30069743986668007,-0.2974410565846596,-0.30093636824139225,-0.29757571371548086,-0.14729459609947826,-0.003256383282020492,-0.0033606545259113885,0.4583333333333333,-0.3584013017473017,-0.27765208899474425
